//(x,y,z,usr)
(,,)
(-7.907368E-7,284.14148,-180.01273)
(-2.0590282E-5,282.5195,-185.98456)
(-1.7798293E-5,271.30707,-175.67262)
(-7.4269287E-6,279.22208,-179.30788)
(2.5825942E-5,278.40213,-163.95491)
(-5.2005735E-6,263.76028,-101.50841)
(1.1891545E-5,278.26056,-120.562996)
(1.7613725E-6,165.14459,-272.15344)
(9.975846E-6,178.35254,-97.499016)
(5.0658887E-6,102.09404,-33.57041)
(-2.5484176E-6,152.70424,-97.5589)
(3.708537E-6,162.74957,-98.78335)
(-2.5158527E-6,147.07387,1.0201597)
(-1.4703437E-6,161.71866,-171.20021)
(-9.710376E-6,242.50813,-200.36935)
(1.665054E-5,301.38678,-268.2708)
(-1.3295505E-5,272.02838,-179.61887)
(2.2770224E-5,274.60486,-198.03574)
(-8.537853E-7,275.21503,-197.2212)
(-3.8131034E-6,227.85036,-119.991776)
(1.2783322E-6,231.1632,54.33983)
(1.3185029E-6,123.2323,27.20557)
(1.2334414E-7,136.75948,-63.940628)
(6.587801E-7,91.221115,-59.30574)
(7.4876893E-6,159.13805,83.819916)
(1.009633E-5,181.59114,-243.5548)
(-1.5316567E-5,262.881,-277.38364)
(-1.3701021E-5,275.04102,-197.00676)
(-1.32669675E-5,282.95517,-194.4673)
(-1.9436868E-6,273.6484,-198.94191)
(1.3248516E-5,278.19284,-192.86572)
(-1.3005219E-5,277.22272,-190.90982)
(1.2236209E-5,274.4728,-199.38803)
(-6.8004465E-6,271.96616,-201.15732)
(-3.097861E-6,281.72836,-202.68558)
(4.5229044E-6,277.16687,-201.31015)
(3.6883725E-6,110.05978,-105.09399)
(-3.0042804E-6,142.41527,-139.44667)
(-1.2772921E-6,144.59145,-140.28168)
(9.51373E-6,147.96924,-134.77016)
(-3.396394E-8,181.39992,-224.9129)
(-1.001936E-5,202.49144,-242.14914)
(1.4680284E-6,111.4884,-132.8055)
(4.834872E-6,109.19597,-108.6624)
(2.1995088E-6,93.50927,-89.62053)
(9.2553364E-7,99.37805,-68.57839)
(-3.3678295E-6,340.21838,-66.305885)
(_______,______,______)
(_______,______,______)
(3.14159,2.712,888)
(3.14159,2.712,888)
(,,)
(,,)
(,,)
(,,)
(,,)
(,,)
(-1.4499834E-6,273.33374,-239.91505)
(6.9760176E-7,273.58163,-239.63245)
(-1.2462351E-7,275.56006,-240.4384)
(6.389928E-7,275.05038,-241.02132)
(4.185256E-6,269.87372,-234.83583)
(8.0264783E-7,270.03903,-234.6457)
(-7.318596E-7,268.81564,-234.71172)
(-4.1125134E-7,268.8652,-234.65492)
(-9.0065214E-7,269.64337,-233.3164)
(-1.0400527E-7,269.77084,-233.16898)
(1.0120448E-6,270.7186,-236.35963)
(1.7177354E-6,271.52005,-235.43849)
(5.7174816E-7,270.64243,-234.05495)
(8.9522814E-7,270.5658,-234.14351)
(7.275355E-7,271.2865,-235.3733)
(-8.443646E-7,271.2626,-235.40067)
(1.9384572E-6,270.8618,-233.76974)
(4.6991545E-7,270.66824,-233.99388)
(-6.9853735E-7,269.189,-234.7281)
(1.5701812E-6,269.13342,-234.79176)
(-6.6188704E-7,269.88745,-234.5033)
(-1.184203E-6,269.71722,-234.69913)
(2.4790677E-6,270.6567,-234.53497)
(5.347573E-7,270.85706,-234.30348)
(-1.2603043E-6,270.39545,-234.87448)
(-8.6561096E-7,270.63,-234.60416)
(-4.287756E-7,269.82513,-234.61229)
(-6.3789685E-7,270.15228,-234.23552)
(-1.3785483E-6,273.7738,-245.02559)
(6.2132085E-6,275.99686,-242.51875)
(-6.1113155E-7,273.86206,-228.1043)
(1.5205488E-6,267.34763,-235.70584)
(1.4742477E-6,274.23605,-226.74854)
(-6.029313E-7,247.52977,-255.63513)
(2.3406528E-6,258.8168,-243.95276)
(-1.5335058E-6,282.80783,-215.68227)
(-2.4515246E-6,285.61517,-214.91441)
(-7.0296437E-7,263.65155,-238.14949)
(-1.5582389E-6,263.09445,-238.76474)
(-3.298709E-8,263.20367,-238.64436)
(9.178734E-8,270.73132,-231.50319)
(1.1398129E-6,270.2124,-235.79749)
(-5.219021E-7,272.47333,-233.18118)
(-1.1847305E-6,266.04575,-235.81485)
(3.3352353E-6,267.44733,-234.2242)
(9.899884E-7,259.9483,-244.36946)
(1.1118686E-6,245.99751,-258.40833)
(-4.4025907E-7,240.7954,-263.26254)
(-6.157052E-7,267.6256,-237.87787)
(8.139758E-6,277.3589,-231.10178)
(-4.703179E-7,270.9061,-238.63338)
(-2.8062095E-6,279.07175,-234.2252)
(-3.0682895E-6,279.24905,-234.01375)
(2.1774713E-6,285.4794,-220.53079)
(-4.1997146E-6,288.17963,-216.99043)
(-3.818231E-6,264.24576,-243.85349)
(3.5734047E-7,264.92157,-243.11926)
(1.6532522E-6,299.27872,-197.33379)
(-6.021691E-6,270.53564,-235.19968)
(4.7779844E-7,274.86163,-246.72513)
(-1.0396707E-6,276.25085,-245.16869)
(1.677663E-6,270.12744,-238.33641)
(3.078958E-6,271.71036,-236.53032)
(-1.969106E-6,278.12238,-220.53127)
(1.9416962E-6,328.01843,-135.60963)
(2.4927428E-7,231.6179,-263.45477)
(-5.610582E-7,226.92805,-267.50507)
(4.9222535E-7,265.50302,-240.17929)
(-8.242273E-7,271.20297,-233.72401)
(7.138442E-7,271.37778,-236.56636)
(-9.778506E-7,271.2314,-236.7341)
(1.3101442E-6,271.1872,-233.12828)
(-4.7633648E-7,269.87253,-234.64902)
(3.4871275E-7,268.0884,-236.04858)
(7.9750805E-7,268.01715,-236.12952)
(1.350387E-6,270.21085,-238.42134)
(-1.1024848E-6,270.45493,-238.14444)
(5.090783E-7,271.27332,-239.23209)
(6.868663E-7,272.42673,-237.91777)
(-2.4264975E-7,260.7388,-246.26622)
(-9.622318E-7,296.90286,-201.19756)
(3.0371891E-6,265.2431,-239.15718)
(1.444314E-6,291.97348,-205.6734)
(-2.1660526E-6,257.11984,-245.98965)
(-7.4393574E-6,209.93587,-287.31238)
(4.5849442E-6,276.67712,-234.95435)
(-1.1939845E-6,275.59573,-236.2219)
(-8.287407E-6,200.30728,-309.8163)
(-4.572193E-6,282.69794,-237.04648)
(-7.5020034E-6,305.34222,-212.60115)
(-3.3077504E-6,272.4671,-253.36697)
(-3.9311544E-7,122.64699,-301.68018)
(-8.197717E-6,219.86174,-240.23743)
(-4.932517E-6,173.12482,-284.7653)
(2.9996781E-6,333.2193,5.327446)
(-5.8355727E-6,294.57672,-170.52739)
(8.764399E-6,232.88652,-248.23158)
(-5.090551E-6,277.59274,-223.2523)
(9.236282E-6,260.45532,-243.0275)
(2.2940912E-6,314.7942,-204.28465)
(1.1097109E-5,288.06857,-240.50809)
(4.766516E-6,65.06005,-366.14468)
(9.831638E-9,147.51158,-321.5476)
(2.6029738E-8,255.48958,-244.69907)
(-6.9413204E-8,240.4471,-259.49512)
(1.3580117E-6,188.69151,-292.0318)
(-3.4871945E-7,188.73735,-295.4894)
(-8.707095E-7,188.52043,-295.6279)
(-1.2230771E-7,188.83159,-295.42917)
(-1.0833062E-6,188.13707,-292.07043)
(5.8837315E-7,186.09962,-292.5825)
(-7.1367936E-7,186.47078,-292.3461)
(7.502382E-7,187.14182,-295.0784)
(-1.3842646E-6,187.28511,-294.98743)
(-4.041402E-7,186.13428,-293.90057)
(1.1289316E-7,186.53831,-293.64438)
(4.1386542E-7,187.168,-293.3302)
(-1.3357477E-7,186.74059,-293.60257)
(-7.7056524E-7,187.02881,-294.63116)
(6.4302964E-7,186.64217,-294.87628)
(-6.484129E-8,186.81891,-293.4494)
(4.279974E-7,186.98271,-293.34506)
(8.492532E-7,186.9147,-293.2694)
(2.3256462E-7,186.55827,-293.49625)
(-7.6151423E-7,187.29158,-293.52487)
(-3.0396106E-7,187.0482,-293.67996)
(3.6677525E-7,186.5343,-292.89218)
(4.1401222E-7,186.56218,-292.87442)
(-8.4215344E-7,185.26596,-293.12994)
(-7.90011E-7,185.28139,-293.12015)
(2.681787E-7,187.28188,-293.10355)
(-7.4294434E-7,187.34816,-293.06122)
(-9.044143E-7,185.75885,-294.6999)
(-1.07928884E-7,186.15459,-294.45)
(-1.3270449E-6,185.819,-293.2691)
(-4.2443557E-7,185.48555,-293.48007)
(-9.0497E-8,186.46207,-290.30777)
(8.5324183E-7,185.7486,-290.7648)
(4.2068447E-7,185.95407,-290.27982)
(-3.365676E-7,185.25694,-290.7252)
(1.3742203E-6,187.40022,-291.6702)
(-6.892901E-7,187.11984,-291.85007)
(4.873719E-9,187.40558,-291.3957)
(-3.3206078E-8,186.83371,-291.76273)
(-2.6897325E-7,192.84564,-299.8626)
(8.232914E-7,192.59688,-300.0224)
(-1.3828242E-7,193.9243,-301.57507)
(7.5583216E-7,194.14357,-301.434)
(4.3877208E-7,187.94534,-290.9884)
(1.2118606E-6,186.44495,-291.9521)
(1.5161788E-7,186.4943,-290.95328)
(1.4929526E-7,188.78966,-289.46918)
(5.602874E-7,188.66437,-291.06903)
(-6.987932E-7,187.34006,-291.92316)
(-8.359313E-7,186.94357,-295.0771)
(1.801368E-7,187.96405,-294.4281)
(1.3277891E-7,186.40105,-291.1916)
(-2.6377327E-7,184.98595,-292.0926)
(2.0583967E-7,185.26259,-291.80768)
(2.6929257E-7,185.59618,-291.59564)
(-1.2719763E-6,186.68445,-291.12497)
(-4.969985E-7,186.38121,-291.3192)
(1.3365423E-7,186.8192,-290.6202)
(4.231658E-7,186.80959,-290.62646)
(7.683366E-7,186.90758,-290.8322)
(-1.8776677E-6,186.54382,-291.06567)
(-9.2543354E-7,185.0545,-292.00476)
(-5.3710323E-7,185.12721,-291.95865)
(-5.7483595E-7,187.8753,-292.32034)
(-9.013377E-9,187.98495,-292.24988)
(7.2456527E-7,186.71896,-291.29514)
(-6.5934024E-8,187.52908,-290.77426)
(-4.957552E-7,186.69246,-290.728)
(-2.427356E-9,185.93211,-291.21487)
(-6.03859E-8,186.21672,-290.9094)
(-2.7806777E-7,185.81439,-291.1666)
(-5.626003E-7,185.65868,-293.0303)
(-1.7501077E-6,185.36517,-293.21606)
(-8.3988454E-7,185.78577,-291.60303)
(-9.088789E-7,186.29472,-291.27817)
(2.661644E-6,187.83972,-290.99637)
(7.079947E-7,187.62592,-291.13422)
(-6.354388E-7,185.96725,-291.73746)
(-2.4339815E-6,186.1622,-291.61304)
(5.4127437E-8,186.669,-293.00217)
(-1.3151998E-6,186.93156,-292.8347)
(5.8509926E-7,185.42534,-291.87753)
(7.2465326E-7,184.67668,-292.35175)
(1.3176873E-7,188.42467,-289.7532)
(7.2167205E-7,182.78722,-293.3422)
(-9.675546E-8,183.85692,-293.0235)
(6.135593E-8,184.52531,-292.60306)
(7.542888E-7,185.66293,-291.78406)
(3.4943238E-7,185.73207,-291.74005)
(-7.0272705E-7,187.58124,-293.72406)
(-3.7844416E-7,187.22403,-293.95187)
(-1.3869766E-7,186.4048,-292.59555)
(-5.762888E-7,186.32002,-292.64954)
(-1.052777E-6,185.17328,-293.36935)
(-7.168984E-7,185.33719,-293.2658)
(7.3120503E-7,184.35817,-292.0139)
(-2.1580604E-8,184.24585,-292.0847)
(2.3354119E-7,186.64178,-291.30768)
(3.635887E-7,186.56975,-291.35382)
(-7.288668E-7,185.48788,-291.58264)
(6.762622E-7,185.4947,-291.5782)
(2.6990804E-7,187.85143,-292.81583)
(-6.1126116E-7,187.27945,-293.18192)
(2.1913081E-7,186.33968,-293.78806)
(-1.1893582E-6,186.25993,-293.83862)
(9.973304E-7,186.02312,-291.92166)
(2.91397E-7,185.97856,-291.94998)
(-3.8404804E-7,185.35254,-290.74213)
(7.739945E-7,185.11975,-290.8903)
(-1.526655E-7,186.10774,-292.34537)
(-8.287992E-7,186.4548,-292.12405)
(-7.8166664E-7,187.06534,-292.76898)
(-1.29174E-6,187.2959,-292.62152)
(-5.7053285E-7,185.57463,-291.651)
(1.075648E-8,185.47403,-291.71497)
(1.0970859E-6,185.96404,-291.94705)
(-1.4617273E-6,186.44223,-291.64185)
(1.1613724E-6,185.29745,-291.21472)
(-8.7633595E-7,185.12935,-291.3216)
(1.2624524E-6,186.10875,-290.38623)
(-6.9340103E-7,185.79753,-290.58548)
(3.0780768E-7,186.3309,-292.10815)
(1.0601639E-7,186.12517,-291.35397)
(3.4996361E-9,186.1527,-291.3363)
(-4.560492E-7,185.9126,-291.4896)
(-3.2622737E-7,185.15813,-291.83862)
(1.297326E-6,185.62427,-290.38406)
(5.3498246E-7,185.52486,-290.44766)
(-1.3727819E-6,185.38577,-290.53644)
(3.062564E-7,185.33345,-288.87503)
(7.3015593E-7,185.70758,-289.63855)
(-1.6042114E-6,186.09355,-289.39075)
(5.9023364E-7,188.14317,-289.81888)
(4.919341E-7,187.96489,-289.93448)
(-4.5548646E-7,186.04395,-291.244)
(3.159809E-7,186.178,-291.1583)
(2.6892351E-7,186.06612,-290.98254)
(-8.581797E-7,185.94844,-291.05777)
(-1.9889882E-7,185.87872,-291.1023)
(3.2171016E-7,186.32713,-289.84683)
(-2.6264885E-7,185.3889,-289.98404)
(2.8896068E-7,185.12408,-290.1532)
(-5.829056E-7,186.377,-290.0355)
(6.872414E-7,186.40007,-290.02072)
(9.11632E-8,186.42052,-289.38437)
(-3.424958E-7,186.41588,-289.38736)
(-1.660311E-7,185.29308,-290.82382)
(-1.3558108E-6,185.11717,-290.9358)
(-3.714858E-7,187.5291,-289.91693)
(4.8391666E-7,187.2422,-290.10236)
(9.536884E-7,186.44121,-290.06653)
(7.106932E-7,186.71198,-289.89224)
(8.992089E-8,186.4385,-291.93103)
(-5.9404016E-7,186.42009,-291.94284)
(-2.6714588E-7,186.00034,-289.29645)
(-5.858919E-7,185.93788,-289.3366)
(-1.2298915E-6,184.10434,-291.32016)
(-6.964399E-7,184.74077,-290.91702)
(1.1870414E-6,187.01418,-290.9182)
(-6.152184E-7,186.23701,-291.4163)
(-2.9447122E-7,186.58209,-290.70648)
(-4.4273654E-7,186.77394,-290.58322)
(-9.3692046E-7,187.08266,-289.87213)
(-2.2944404E-7,185.33699,-290.9914)
(-6.1807896E-7,186.7383,-290.09406)
(7.096389E-8,200.41818,-303.29456)
(-3.574064E-7,200.22057,-303.42502)
(-4.7725734E-9,191.80997,-298.6154)
(1.7847116E-6,190.97647,-299.1492)
(-3.083005E-7,188.92223,-295.6811)
(-8.72065E-7,189.29541,-295.44235)
(4.3539728E-7,186.81674,-293.28696)
(-5.5001567E-7,187.22964,-293.02347)
(-3.6901085E-7,185.92421,-291.8091)
(-1.1594014E-6,185.92169,-291.81082)
(-1.1108943E-6,186.27718,-291.82098)
(-8.242614E-7,186.25345,-291.83615)
(-1.3856069E-6,188.12175,-292.13123)
(-1.6451253E-7,186.75237,-293.00854)
(1.2239979E-6,185.67604,-292.1872)
(-1.3902478E-6,185.65976,-292.19757)
(-4.027521E-7,185.53026,-292.1436)
(9.0697085E-8,186.36873,-291.60934)
(5.1103825E-7,185.59981,-290.20734)
(-2.456784E-7,180.53075,-293.3876)
(3.412424E-8,196.47498,-286.11603)
(8.1491635E-7,178.20279,-297.83994)
(8.5618274E-7,186.34274,-292.8675)
(5.3272396E-7,192.4474,-288.89264)
(-1.8701485E-8,184.57184,-292.6367)
(4.626085E-7,186.71785,-291.2721)
(-6.774417E-7,206.26517,-276.0829)
(-9.388356E-7,181.32466,-293.0672)
(-1.2516239E-7,185.2693,-292.27307)
(-2.868936E-7,184.24779,-292.91797)
(7.3945097E-7,183.07127,-295.24554)
(8.394636E-8,180.93846,-296.55737)
(7.6433986E-7,182.56744,-295.459)
(9.3550676E-7,189.49348,-291.06546)
(-2.6756586E-8,184.76329,-294.90048)
(-5.4355723E-7,183.06725,-295.95636)
(7.296176E-7,183.14731,-294.9862)
(-6.925131E-7,182.82184,-295.1881)
(6.9489715E-7,182.21439,-294.96332)
(2.6975727E-7,181.21367,-295.57922)
(-7.970356E-8,181.16217,-295.05527)
(9.6379146E-8,181.19615,-295.03436)
(-1.3320687E-8,183.21466,-294.47763)
(4.237711E-7,183.734,-294.1538)
(-3.8669953E-7,184.06581,-294.91083)
(1.7354182E-7,184.49438,-294.64294)
(6.641585E-7,184.73741,-295.42407)
(-4.0802885E-7,184.36073,-295.65936)
(-3.2817294E-7,182.49937,-294.6342)
(2.2911081E-7,182.64742,-294.54242)
(4.5712852E-7,185.97118,-295.50922)
(-8.725805E-8,186.11696,-295.41745)
(7.3512297E-7,185.49834,-293.38885)
(-7.523164E-7,185.12683,-293.62338)
(-2.0017865E-7,184.03368,-295.77594)
(-1.0691223E-7,185.45082,-294.88956)
(8.800822E-7,183.9459,-294.6492)
(-3.8018015E-7,183.22517,-295.0979)
(,,)
(-3.282878E-7,184.37376,-294.616)
(-1.16956464E-7,184.22893,-294.7066)
(-1.2444616E-7,184.15714,-294.79315)
(1.1533267E-5,242.95544,283.30447)
(1.1533267E-5,242.95544,283.30447)
(1.1533267E-5,242.95544,283.30447)
(-1.4740543E-6,243.84747,275.3698)
(2.7444455E-7,184.23846,-294.74237)
(-2.207355E-7,183.91356,-294.51648)
(-1.0417845E-5,243.69104,275.5083)
(-2.3645327E-7,184.26917,-294.29407)
(2.0424459E-5,247.7687,278.55576)
(5.792998E-7,184.93661,-295.94217)
(1.6960328E-5,240.01588,283.64606)
(-2.7002045E-7,184.04822,-296.49554)
(1.0582909E-6,240.86206,282.92783)
(-2.932012E-7,183.25612,-295.581)
(8.591635E-6,241.34314,294.39706)
(-8.298681E-6,239.93175,292.5635)
(1.1942228E-6,184.89629,-294.5578)
(-8.4774E-8,183.4177,-297.06375)
(3.8652224E-6,242.43452,290.4929)
(-4.1500903E-6,238.66762,271.0442)
(-1.5241767E-7,184.30064,-296.51685)
(1.04797E-7,235.14957,274.1019)
(-1.4069997E-7,183.38582,-296.05685)
(-2.5847091E-6,246.37444,273.4328)
(5.5204225E-7,183.0374,-296.2724)
(-1.6988506E-5,250.98003,290.82025)
(6.579285E-8,185.28163,-295.7489)
(-1.3292036E-7,185.00139,-295.92432)
(5.569872E-6,248.98761,292.5278)
(1.208261E-6,250.37953,280.2999)
(-7.908409E-7,184.94434,-295.81326)
(-1.4738124E-5,255.44077,287.53488)
(-7.934551E-7,185.16704,-295.67395)
(-6.801426E-7,182.95523,-297.1152)
(-2.243718E-7,254.96716,287.95502)
(6.5059675E-7,182.54633,-297.36664)
(7.750471E-6,253.02129,290.69247)
(-9.43927E-6,248.51266,293.2562)
(2.911429E-7,187.21497,-299.82413)
(1.7026359E-6,186.95154,-299.98853)
(-1.834232E-6,248.08623,293.61697)
(-1.4497368E-6,200.07262,-314.77954)
(1.5414096E-6,242.61343,278.98145)
(-1.2040301E-6,241.81294,279.67557)
